City,Airport Code,Trip Distance (km),Total Distance (km)
Istanbul,IST,4412.08,5.28164e+06
Antalya,AYT,1401.26,5.28304e+06
Friedrichshafen,FDH,3562.32,5.2866e+06
Antalya,AYT,4279.39,5.29088e+06
Kassel,KSF,3906.19,5.29479e+06
Antalya,AYT,4704.03,5.29949e+06
Munich,MUC,3420.82,5.30291e+06
Westerland,GWT,5905.91,5.30882e+06
Frankfurt,FRA,6333.62,5.31515e+06
Tallinn-ulemiste International,TLL,5605.35,5.32076e+06
Kuressaare,URE,4730.89,5.32549e+06
Tallinn-ulemiste International,TLL,4829.01,5.33032e+06
Helsinki,HEL,4714.7,5.33503e+06
Tartu,TAY,4611.98,5.33965e+06
Helsinki,HEL,4455.51,5.3441e+06
Ivalo,IVL,5025,5.34913e+06
Kittila,KTT,5361.49,5.35449e+06
Helsinki,HEL,5330.41,5.35982e+06
Joensuu,JOE,4669.62,5.36449e+06
Helsinki,HEL,4460.42,5.36895e+06
Jyvaskyla,JYV,4823.82,5.37377e+06
Kemi,KEM,5080.17,5.37885e+06
Helsinki,HEL,5207.26,5.38406e+06
Kajaani,KAJ,4818.26,5.38888e+06
Helsinki,HEL,4772.27,5.39365e+06
Kruunupyy,KOK,4996.23,5.39865e+06
Helsinki,HEL,5201.89,5.40385e+06
Kuusamo,KAO,4824.99,5.40867e+06
Helsinki,HEL,4737.12,5.41341e+06
Kuopio,KUO,4759,5.41817e+06
Helsinki,HEL,4668.85,5.42284e+06
Istanbul,IST,4038.54,5.42688e+06
Bergamo,BGY,3484.83,5.43036e+06
Lappeenranta,LPP,5074.76,5.43544e+06
Bergamo,BGY,4522.24,5.43996e+06
Stockholm,NYO,5634.17,5.44559e+06
Mariehamn,MHQ,5641.13,5.45123e+06
Helsinki,HEL,5265.35,5.4565e+06
Oulu,OUL,4950.49,5.46145e+06
Helsinki,HEL,5063.1,5.46651e+06
Pori,POR,4954.4,5.47147e+06
Helsinki,HEL,5170.55,5.47664e+06
Rovaniemi,RVN,5003.42,5.48164e+06
Helsinki,HEL,5137.99,5.48678e+06
Savonlinna,SVL,4667.28,5.49145e+06
Helsinki,HEL,4477.46,5.49592e+06
Tampere,TMP,4871.48,5.50079e+06
Helsinki,HEL,4982.11,5.50578e+06
Turku,TKU,4891.05,5.51067e+06
Helsinki,HEL,5053.04,5.51572e+06
Vaasa,VAA,5029.01,5.52075e+06
Helsinki,HEL,5294.43,5.52604e+06
Dubrovnik,DBV,4347.36,5.53039e+06
Belfast,BFS,6274.98,5.53667e+06
Palma de Mallorca,PMI,7536.22,5.5442e+06
