City,Airport Code,Trip Distance (km),Total Distance (km)
Lansing,LAN,14766.5,2.44991e+07
Atlanta,ATL,15017.4,2.45141e+07
Tokyo,NRT,13877.1,2.4528e+07
Honolulu,HNL,432.908,2.45285e+07
Kahului,OGG,4831.44,2.45333e+07
Kamuela,MUE,4964.06,2.45383e+07
Kahului,OGG,4935.35,2.45432e+07
Honolulu,HNL,4942.56,2.45481e+07
Las Vegas,LAS,5743.18,2.45539e+07
Albany,ALB,12480.8,2.45664e+07
Massena,MSS,15436.5,2.45818e+07
Albany,ALB,15543,2.45973e+07
Las Vegas,LAS,16252.4,2.46136e+07
San Francisco,SFO,11351.1,2.46249e+07
Bakersfield,BFL,10849.7,2.46358e+07
Houston,IAH,11795.6,2.46476e+07
Harlingen,HRL,12959.5,2.46605e+07
Houston,IAH,12407.9,2.46729e+07
Columbia,CAE,13070.3,2.4686e+07
Houston,IAH,14306.3,2.47003e+07
Pensacola,PNS,13012.7,2.47133e+07
Pittsburgh,HOU,13564.4,2.47269e+07
Dallas-Fort Worth,DFW,15145.3,2.4742e+07
Chattanooga,CHA,13242.4,2.47553e+07
Dallas-Fort Worth,DFW,14227.9,2.47695e+07
Jackson,JAN,13218.4,2.47827e+07
Washington,DCA,13589.1,2.47963e+07
Long Beach,LGB,15525.3,2.48119e+07
San Francisco,SFO,10783.2,2.48226e+07
Philadelphia,PHL,12180.7,2.48348e+07
Williamsport,IPT,15049,2.48499e+07
Philadelphia,PHL,15068.5,2.48649e+07
Indianapolis,IND,15258.2,2.48802e+07
Fort Lauderdale,FLL,14520.5,2.48947e+07
White Plains,HPN,13316.9,2.4908e+07
Fort Lauderdale,FLL,14847.7,2.49229e+07
St. Louis,STL,13558.5,2.49364e+07
Jonesboro,JBR,14283.7,2.49507e+07
St. Louis,STL,13938.5,2.49647e+07
Los Angeles,LAX,14271.8,2.49789e+07
Yuma,YUM,11019.6,2.49899e+07
Los Angeles,LAX,11154.9,2.50011e+07
Albuquerque,ABQ,11164.8,2.50123e+07
Carlsbad,CNM,12485,2.50248e+07
Los Angeles,LAX,10939.1,2.50357e+07
Las Vegas,LAS,10929.5,2.50466e+07
Duluth,DLH,11767.2,2.50584e+07
Fairbanks,ORD,15048.5,2.50734e+07
Anchorage,ANC,11110.2,2.50845e+07
Bethel,BET,10837.4,2.50954e+07
Anchorage,ANC,9204.97,2.51046e+07
Honolulu,HNL,10133.1,2.51147e+07
Lihue,LIH,4824.86,2.51195e+07
Seattle,SEA,4866.94,2.51244e+07
Billings,BIL,11920.7,2.51363e+07
Havre,HVR,13145.7,2.51495e+07
Billings,BIL,13361.9,2.51628e+07
Las Vegas,LAS,13230.3,2.51761e+07
Shreveport,SHV,12142.3,2.51882e+07
Las Vegas,LAS,13233.2,2.52014e+07
Anchorage,ANC,11539.7,2.5213e+07
Cordova,CDV,10401.6,2.52234e+07
Anchorage,ANC,10934.9,2.52343e+07
Denver,DEN,10627.1,2.5245e+07
Norfolk,ORF,13662.7,2.52586e+07
Dallas-Fort Worth,DFW,14988.2,2.52736e+07
Beaumont,BPT,13201.1,2.52868e+07
Dallas-Fort Worth,DFW,13038.6,2.52998e+07
Savannah,SAV,13323.4,2.53132e+07
Fairbanks,ORD,14168.2,2.53273e+07
Anchorage,ANC,11110.2,2.53384e+07
Nome,OME,11086.3,2.53495e+07
Anchorage,ANC,9174.86,2.53587e+07
Los Angeles,LAX,10436.8,2.53691e+07
Rochester,SAT,11598.5,2.53807e+07
Boston,BOS,15208.6,2.53959e+07
Nantucket,ACK,15162.1,2.54111e+07
Teterboro,TEB,15192.6,2.54263e+07
Nantucket,ACK,14978.9,2.54413e+07
Boston,BOS,15134.4,2.54564e+07
Raleigh-durham,RDU,15283,2.54717e+07
Tampa,TPA,14342.3,2.5486e+07
Dayton,DAY,13555,2.54996e+07
Fairbanks,ORD,14831.1,2.55144e+07
Anchorage,ANC,11110.2,2.55255e+07
Kenai,ENA,10533,2.55361e+07
Anchorage,ANC,10323.4,2.55464e+07
Los Angeles,LAX,10436.8,2.55568e+07
Fort Lauderdale,FLL,12489.8,2.55693e+07
Niagara Falls,IAG,13443.5,2.55828e+07
Sanford,SFB,15107.3,2.55979e+07
Newport News,PHF,13553.6,2.56114e+07
Denver,DEN,15293.4,2.56267e+07
Tucson,TUS,13078.8,2.56398e+07
Las Vegas,LAS,11487.3,2.56513e+07
Providence,PVD,12608.5,2.56639e+07
Charlotte,CLT,15266.7,2.56792e+07
Salisbury,SBY,14271.9,2.56934e+07
Charlotte,CLT,14825.4,2.57083e+07
San Jose,SJO,13932.8,2.57222e+07
Burbank,BUR,10909.1,2.57331e+07
San Francisco,SFO,10803.1,2.57439e+07
Minneapolis,MSP,11283,2.57552e+07
Hibbing,HIB,14710.8,2.57699e+07
Minneapolis,MSP,15029.7,2.57849e+07
Las Vegas,LAS,14673.8,2.57996e+07
Midland,MAF,11901,2.58115e+07
Las Vegas,LAS,12346.2,2.58238e+07
Minneapolis,MSP,11791.7,2.58356e+07
Green Bay,GRB,14742.2,2.58504e+07
Atlanta,ATL,15040.9,2.58654e+07
Bush Field,AGS,13987.9,2.58794e+07
Atlanta,ATL,14096,2.58935e+07
Denver,DEN,14237,2.59077e+07
Williston,ISN,12964.4,2.59207e+07
Denver,DEN,14068.4,2.59348e+07
Little Rock,LIT,13359.1,2.59481e+07
Detroit,DTW,13715.6,2.59619e+07
Newburgh,SWF,14978.8,2.59768e+07
Deadhorse,PIE,15024.5,2.59919e+07
Anchorage,ANC,11577.9,2.60034e+07
Homer,HOM,10516.1,2.60139e+07
Anchorage,ANC,10206.7,2.60242e+07
Los Angeles,LAX,10436.8,2.60346e+07
St. Louis,STL,11559,2.60462e+07
Fort Leonardwood,TBN,14281.8,2.60604e+07
St. Louis,STL,14044.2,2.60745e+07
San Diego,SAN,14272.6,2.60887e+07
Austin,AUS,11578.4,2.61003e+07
Southend,LHR,13860.4,2.61142e+07
Venice,VCE,6446.38,2.61206e+07
St. Petersburg,LED,4618.98,2.61253e+07
Columbus,LCK,13522.2,2.61388e+07
Atlanta,ATL,13867.3,2.61526e+07
Knoxville,TYS,14031.9,2.61667e+07
Dallas-Fort Worth,DFW,14394.1,2.61811e+07
Wichita Falls,SPS,13114.3,2.61942e+07
Dallas-Fort Worth,DFW,13148.6,2.62073e+07
Grand Rapids,GRR,13154.5,2.62205e+07
Las Vegas,LAS,15199,2.62357e+07
Fresno,FAT,11401.8,2.62471e+07
San Diego,SAN,11130.7,2.62582e+07
Imperial,IPL,10983.6,2.62692e+07
San Diego,SAN,11122.9,2.62803e+07
Nashville,BNA,11761,2.62921e+07
Las Vegas,LAS,14338.3,2.63064e+07
Laredo,LRD,12118.6,2.63185e+07
Las Vegas,LAS,12132.4,2.63307e+07
Washington,DCA,12505.2,2.63432e+07
Altoona,AOO,14890.1,2.63581e+07
College Station,IAD,14957.2,2.6373e+07
Houston,IAH,12978.1,2.6386e+07
Dallas,DAL,12913.3,2.63989e+07
El Dorado,ELD,13186.7,2.64121e+07
Dallas,DAL,13491.3,2.64256e+07
Houston,IAH,13194,2.64388e+07
New York,LGA,13039.7,2.64518e+07
Miami,MIA,14799,2.64666e+07
Tallahassee,TLH,13280.6,2.64799e+07
Dallas-Fort Worth,DFW,13771.6,2.64937e+07
Waco,ACT,13150.1,2.65068e+07
Dallas-Fort Worth,DFW,12982.5,2.65198e+07
Boston,BOS,13322.9,2.65331e+07
Augusta,AUG,15263.3,2.65484e+07
Boston,BOS,15437.6,2.65638e+07
Tokyo,NRT,14920.2,2.65788e+07
Honolulu,HNL,432.908,2.65792e+07
Molokai,MKK,4826.48,2.6584e+07
Honolulu,HNL,4896.83,2.65889e+07
Dallas-Fort Worth,DFW,7259.57,2.65962e+07
San Angelo,SJT,13120.3,2.66093e+07
Dallas-Fort Worth,DFW,12704.6,2.6622e+07
San Francisco,SFO,12919.7,2.66349e+07
Chico,CIC,10722.7,2.66456e+07
San Francisco,SFO,11041.6,2.66567e+07
Atlanta,ATL,12049.1,2.66687e+07
Burlington,BTV,14010.7,2.66827e+07
Atlanta,ATL,15575.9,2.66983e+07
Jacksonville,JAX,13956,2.67123e+07
Las Vegas,LAS,14189.9,2.67265e+07
Milwaukee,MKE,11998.4,2.67385e+07
Dallas-Fort Worth,DFW,14922.4,2.67534e+07
Abilene,ABI,13118,2.67665e+07
Dallas-Fort Worth,DFW,12883.3,2.67794e+07
West Palm Beach,PBI,13404.8,2.67928e+07
Tampa,TPA,13308.1,2.68061e+07
Albany,ALB,13457.3,2.68196e+07
Ogdensburg,OGS,15447.5,2.6835e+07
Albany,ALB,15503.2,2.68505e+07
Atlanta,ATL,13793.6,2.68643e+07
Des Moines,DSM,14168.7,2.68785e+07
Atlanta,ATL,14417.6,2.68929e+07
New Bern,EWN,13955.3,2.69068e+07
Atlanta,ATL,14476.7,2.69213e+07
Monroe,MLU,14076.8,2.69354e+07
Houston,IAH,13482.4,2.69489e+07
Ontario,ONT,12808.5,2.69617e+07
Dallas-Fort Worth,DFW,11610,2.69733e+07
Roswell,ROW,13065.5,2.69864e+07
Dallas-Fort Worth,DFW,12600.6,2.6999e+07
Brownsville,BRO,13208,2.70122e+07
Houston,IAH,12388,2.70246e+07
Atlanta,ATL,13009.1,2.70376e+07
Dothan,DHN,14002.2,2.70516e+07
Atlanta,ATL,13710.8,2.70653e+07
Denver,DEN,14237,2.70795e+07
Farmington,FMN,13051.4,2.70926e+07
Denver,DEN,12374.2,2.71049e+07
Houston,IAH,13392,2.71183e+07
Corpus Christi,CRP,12948.1,2.71313e+07
Houston,IAH,12588.6,2.71439e+07
Orlando,MCO,13085.3,2.7157e+07
Syracuse,SYR,13600,2.71706e+07
Atlanta,ATL,15362.5,2.71859e+07
Hobbs,SJC,14316.5,2.72002e+07
Houston,IAH,12723.2,2.7213e+07
Chicago,MDW,12914.5,2.72259e+07
Sioux City,SUX,14840.6,2.72407e+07
Fairbanks,ORD,14239.9,2.7255e+07
Seattle,SEA,10812.2,2.72658e+07
Orlando,MCO,13340,2.72791e+07
Macon,MCN,13555.6,2.72927e+07
Orlando,MCO,13850.4,2.73065e+07
Galena,CMH,13655.1,2.73202e+07
Fairbanks,FAI,10153,2.73303e+07
Seattle,SEA,10812.2,2.73411e+07
Dallas-Fort Worth,DFW,12557.1,2.73537e+07
Texarkana,TXK,13164.4,2.73669e+07
Dallas-Fort Worth,DFW,13429.4,2.73803e+07
Fort Lauderdale,FLL,13411.9,2.73937e+07
Plattsburgh,PBG,13376,2.74071e+07
Fort Lauderdale,FLL,15215.3,2.74223e+07
Houston,IAH,13497.9,2.74358e+07
Killeen,GRK,12952.4,2.74487e+07
Houston,IAH,12929.7,2.74617e+07
Honolulu,HNL,12740.7,2.74744e+07
Bellingham,BLI,4913.49,2.74793e+07
Honolulu,HNL,11808.6,2.74911e+07
Dallas-Fort Worth,DFW,7259.57,2.74984e+07
Mobile,MOB,13257.3,2.75116e+07
Dallas-Fort Worth,DFW,13537,2.75252e+07
Belleville,SAF,13033.3,2.75382e+07
Sanford,SFB,14291.8,2.75525e+07
Cincinnati,CVG,13709.4,2.75662e+07
Fort Myers,RSW,14506.7,2.75807e+07
Fairbanks,ORD,13516.9,2.75942e+07
Anchorage,ANC,11110.2,2.76054e+07
King Salmon,AKN,10623.4,2.7616e+07
Anchorage,ANC,9557.2,2.76255e+07
Honolulu,HNL,10133.1,2.76357e+07
Lahania-kapalua,JHM,4829.56,2.76405e+07
Honolulu,HNL,4922.75,2.76454e+07
Cheyenne,JFK,8588.07,2.7654e+07
Denver,DEN,13186,2.76672e+07
Las Vegas,LAS,12971.2,2.76802e+07
Stockton,SCK,11362.9,2.76915e+07
Las Vegas,LAS,11066.6,2.77026e+07
Houston,IAH,12173.4,2.77148e+07
Charleston,CHS,13055.4,2.77278e+07
Dallas-Fort Worth,DFW,14326.8,2.77421e+07
Reno,RNO,12923,2.77551e+07
Seattle,SEA,11122.9,2.77662e+07
Ketchikan,KTN,11702.6,2.77779e+07
San Francisco,SFO,10901.2,2.77888e+07
Sacramento,SMF,10743.9,2.77995e+07
San Francisco,SFO,10950.1,2.78105e+07
Colorado Springs,COS,11119.2,2.78216e+07
Las Vegas,LAS,12852.1,2.78345e+07
Buffalo,BUF,12297.2,2.78468e+07
Phoenix,PHX,15759.2,2.78625e+07
Salt Lake City,SLC,11497.5,2.7874e+07
Cedar City,CDC,12336.3,2.78864e+07
Salt Lake City,SLC,11852.3,2.78982e+07
Los Angeles,LAX,12311.4,2.79105e+07
Windsor Locks,BDL,12121,2.79226e+07
Las Vegas,LAS,16260.8,2.79389e+07
Mcallen,MFE,12203.7,2.79511e+07
Las Vegas,LAS,12101.9,2.79632e+07
Lubbock,LBB,11863,2.79751e+07
Las Vegas,LAS,12574.2,2.79876e+07
Chicago,MDW,12038.4,2.79997e+07
Watertown,ART,14780.7,2.80145e+07
Minneapolis,MSP,14381.9,2.80288e+07
Palm Springs,PSP,14676.4,2.80435e+07
Las Vegas,LAS,11110.5,2.80546e+07
Amarillo,AMA,11823.3,2.80665e+07
Chicago,MDW,13039.8,2.80795e+07
Topeka,FOE,14828.7,2.80943e+07
Fairbanks,ORD,13913.4,2.81082e+07
Seattle,SEA,10812.2,2.8119e+07
Atlanta,ATL,12992.4,2.8132e+07
Wilmington,ILM,13955.9,2.8146e+07
Atlanta,ATL,14358.8,2.81604e+07
Baton Rouge,BTR,14049.9,2.81744e+07
Houston,IAH,13320.8,2.81877e+07
Tyler,TYR,12961.4,2.82007e+07
Houston,IAH,13239.2,2.82139e+07
Baltimore,BWI,13028.9,2.8227e+07
San Diego,SAN,15591.5,2.82425e+07
Honolulu,HNL,10618.3,2.82532e+07
Lanai,LNY,4828.99,2.8258e+07
Honolulu,HNL,4872.11,2.82629e+07
Anchorage,ANC,5888.66,2.82688e+07
Cold Bay,CDB,10695.9,2.82795e+07
Anchorage,ANC,8574.14,2.8288e+07
Las Vegas,LAS,10461.4,2.82985e+07
Tulsa,TUL,11961,2.83104e+07
Fairbanks,ORD,13591.8,2.8324e+07
Anchorage,ANC,11110.2,2.83351e+07
Juneau,JNU,10200.3,2.83453e+07
Sitka,SIT,11589.7,2.83569e+07
Juneau,JNU,11364.5,2.83683e+07
Seattle,SEA,11571.7,2.83799e+07
Houston,IAH,12717.2,2.83926e+07
Islip,ISP,13046.6,2.84056e+07
Tampa,TPA,14959.3,2.84206e+07
Unalaska,ILG,13440.4,2.8434e+07
Los Angeles,LAX,13309.8,2.84473e+07
Oklahoma City,OKC,11427.3,2.84588e+07
Los Angeles,LAX,13179.6,2.8472e+07
Anchorage,ANC,10982.8,2.84829e+07
Valdez,VDZ,10431.1,2.84934e+07
Anchorage,ANC,10916.4,2.85043e+07
Portland,PDX,10189.2,2.85145e+07
Santa Ana,SNA,11745.1,2.85262e+07
Las Vegas,LAS,10955.5,2.85372e+07
Casper,CPR,11528.8,2.85487e+07
Las Vegas,LAS,13124.3,2.85618e+07
Houston,IAH,12173.4,2.8574e+07
Valparaiso,VPS,13052.6,2.85871e+07
Atlanta,ATL,13565.8,2.86006e+07
Key West,EYW,13895,2.86145e+07
New Orleans,MSY,13167.9,2.86277e+07
Las Vegas,LAS,13310.1,2.8641e+07
Great Falls,GTF,11366.8,2.86524e+07
Denver,DEN,13232.1,2.86656e+07
Frankfurt,FRA,15555.1,2.86811e+07
St. Petersburg,LED,5356.21,2.86865e+07
Youngstown,YNG,13512.2,2.87e+07
Punta Gorda,PGD,14852.8,2.87149e+07
Goroka,,12103.5,2.8727e+07
Port Moresby,POM,5141.79,2.87321e+07
Denpasar,DPS,7561.71,2.87397e+07
Malang,MLG,9513.97,2.87492e+07
Denpasar,DPS,9452.49,2.87586e+07
Bandung,BDO,9769.54,2.87684e+07
Yogyakarta,JOG,9828.63,2.87782e+07
Balikpapan,BPN,9771.04,2.8788e+07
Semarang,SRG,8797.72,2.87968e+07
Jakarta,CGK,9874.4,2.88067e+07
Tanjung Pandan,TJQ,10017.4,2.88167e+07
Pangkal Pinang,PGK,9683.29,2.88264e+07
Jakarta,CGK,9547.47,2.88359e+07
Tanjung Pinang,TNJ,10226,2.88462e+07
Jakarta,CGK,9282.57,2.88554e+07
Banjarmasin,BDJ,9795.23,2.88652e+07
Pangkalan Bun,PKN,9248.5,2.88745e+07
Surabaya,SUB,9097.81,2.88836e+07
Palangkaraya,PKY,9677.3,2.88933e+07
Surabaya,SUB,8925.23,2.89022e+07
Kupang,KOE,9058.46,2.89112e+07
Maumere,MOF,8653.67,2.89199e+07
Kupang,KOE,8470.39,2.89284e+07
Ende,ENE,8670.96,2.8937e+07
Labuhan Bajo,LBJ,8778.01,2.89458e+07
Denpasar,DPS,9062.2,2.89549e+07
Balikpapan,BPN,9615.06,2.89645e+07
Taraken,TRK,8940.55,2.89734e+07
Ujung Pandang,UPG,7968.98,2.89814e+07
Denpasar,DPS,8736.76,2.89901e+07
Bima,BMU,9257.66,2.89994e+07
Denpasar,DPS,9142.26,2.90085e+07
Waingapu,WGP,9156.7,2.90177e+07
Denpasar,DPS,9155.69,2.90269e+07
Singapore,SIN,10292.7,2.90371e+07
Solo City,SOC,9124.43,2.90463e+07
Kuala Lumpur,KUL,10432.5,2.90567e+07
Kunming,KMG,9977.16,2.90667e+07
Chiang Rai,CEI,7539.67,2.90742e+07
Bangkok,DMK,7881.66,2.90821e+07
Nakhon Si Thammarat,NST,8454.02,2.90906e+07
Bangkok,DMK,9130.63,2.90997e+07
Nakhon Phanom,KOP,8538.68,2.91082e+07
Bangkok,DMK,8227.03,2.91165e+07
Ubon Ratchathani,UBP,8490.53,2.91249e+07
Bangkok,DMK,8458.93,2.91334e+07
Khon Kaen,KKC,8557.85,2.9142e+07
Bangkok,DMK,8299.51,2.91503e+07
Sukhothai,THS,8661.47,2.91589e+07
Kendari,BKK,8170.59,2.91671e+07
Jakarta,CGK,9062.71,2.91762e+07
Tokyo,NRT,10194.9,2.91863e+07
Kobe,UKB,6743.91,2.91931e+07
Sapporo,CTS,6735.25,2.91998e+07
Honolulu,HNL,500.597,2.92003e+07
Seattle,SEA,4948.92,2.92053e+07
Pullman,PUW,11778.7,2.92171e+07
Lewiston,LWS,12272.3,2.92293e+07
Seattle,SEA,12187.1,2.92415e+07
Chicago,MDW,12570.4,2.92541e+07
Elmira,ELM,14777.2,2.92689e+07
Philadelphia,PHL,15166.7,2.9284e+07
Ithaca,ITH,15070.4,2.92991e+07
Detroit,DTW,15470.9,2.93146e+07
San Diego,SAN,15321.2,2.93299e+07
Monterey,MRY,10790.5,2.93407e+07
San Francisco,SFO,10692.7,2.93514e+07
Santa Barbara,SBA,10854.3,2.93622e+07
San Francisco,SFO,10670,2.93729e+07
Atlanta,ATL,12049.1,2.93849e+07
Daytona Beach,DAB,13936,2.93989e+07
Atlanta,ATL,13675.7,2.94126e+07
Erbil,EZE,13170.2,2.94257e+07
Tbilisi,TBS,902.639,2.94266e+07
Riga,RIX,2670.84,2.94293e+07
Larnaca,LCA,3663.5,2.9433e+07
Krasnodar,KRR,556.222,2.94335e+07
Paphos,PFO,677.118,2.94342e+07
Kaunas,KUN,2857.83,2.94371e+07
Paphos,PFO,3436.62,2.94405e+07
Krasnodar,KRR,596.669,2.94411e+07
Larnaca,LCA,659.779,2.94418e+07
Riga,RIX,3016.62,2.94448e+07
Palanga,PLQ,4606.43,2.94494e+07
Riga,RIX,4731.73,2.94541e+07
Vilnius,VNO,4354.66,2.94585e+07
Moscow,SVO,3599.34,2.94621e+07
Gyumri,LWN,1959.01,2.9464e+07
Sanya,DME,1476.38,2.94655e+07
Guangzhou,CAN,8090.71,2.94736e+07
Cairo,CAI,9990.97,2.94836e+07
Asmara,ASM,2255.66,2.94858e+07
Cairo,CAI,2627.82,2.94885e+07
Mukalla,RIY,3304.17,2.94918e+07
Cairo,CAI,3859.45,2.94956e+07
Tel-aviv,TLV,309.402,2.94959e+07
Tbilisi,TBS,441.439,2.94964e+07
Batumi,BUS,365.134,2.94967e+07
Tbilisi,TBS,273.011,2.9497e+07
Tel-aviv,TLV,432.806,2.94974e+07
Donetsk,DOK,1009.51,2.94985e+07
Kutaisi,KUT,1148.7,2.94996e+07
Tbilisi,TBS,272.052,2.94999e+07
Tel-aviv,TLV,432.806,2.95003e+07
Cairo,CAI,340.976,2.95006e+07
Taiz,TAI,2902.35,2.95036e+07
Sanaa,SAH,4344.48,2.95079e+07
Hodeidah,HOD,4153.73,2.9512e+07
Cairo,CAI,3138.93,2.95152e+07
Aden,ADE,3067.21,2.95183e+07
Sanaa,SAH,4492.21,2.95227e+07
Ataq,AXK,4405.31,2.95272e+07
Sanaa,SAH,4466.59,2.95316e+07
Al Ghaidah Intl,AAY,4649.99,2.95363e+07
Sanaa,SAH,4729.33,2.9541e+07
Cairo,CAI,3196.64,2.95442e+07
Larnaca,LCA,186.019,2.95444e+07
Yekaterinburg,SVX,397.926,2.95448e+07
Kiev,KBP,1202.38,2.9546e+07
Memmingen,FMM,3824.59,2.95498e+07
Chania,CHQ,4328.12,2.95541e+07
Paphos,PFO,1282.98,2.95554e+07
Krasnodar,KRR,596.669,2.9556e+07
Larnaca,LCA,659.779,2.95567e+07
Cairo,CAI,182.231,2.95569e+07
Mukalla,RIY,3304.17,2.95602e+07
Socotra,SCT,5365.22,2.95655e+07
Mukalla,RIY,5502.84,2.9571e+07
Cairo,CAI,3859.45,2.95749e+07
Istanbul,IST,1169.55,2.95761e+07
Nevsehir,NAV,1343.86,2.95774e+07
Istanbul,IST,1180.93,2.95786e+07
Goroka,,1351.63,2.95799e+07
Port Moresby,POM,5141.79,2.95851e+07
Brisbane,BNE,4692.7,2.95898e+07
Emerald,EMD,6094.92,2.95959e+07
Brisbane,BNE,6155.7,2.9602e+07
Cairns,CNS,6309.46,2.96083e+07
Tagbilaran,KIX,10098.2,2.96184e+07
Manila,MNL,8091.98,2.96265e+07
Doha,DOH,11496.3,2.9638e+07
Copenhagen,CPH,4643.38,2.96427e+07
Sondrestrom,SFJ,10482.3,2.96531e+07
Ilulissat,JAV,16317.7,2.96695e+07
Aasiaat,JEG,16393.1,2.96859e+07
Sondrestrom,SFJ,16397.6,2.97022e+07
Copenhagen,CPH,13568.4,2.97158e+07
Lahore,LHE,6026.54,2.97218e+07
Kuala Lumpur,KUL,6901.88,2.97287e+07
Surat Thani,URT,9703.12,2.97384e+07
Bangkok,DMK,9058.26,2.97475e+07
Mandalay,MDL,8798.28,2.97563e+07
Nyuang U,NYU,7788.28,2.97641e+07
Yangon,RGN,7759.77,2.97719e+07
Tokyo,NRT,7961.71,2.97798e+07
Cebu,CEB,5714.28,2.97855e+07
Caticlan,MPH,7815.11,2.97933e+07
Manila,MNL,7911.54,2.98013e+07
San Francisco,SFO,5210.24,2.98065e+07
Philadelphia,PHL,12180.7,2.98186e+07
New Haven,HVN,14938.5,2.98336e+07
Philadelphia,PHL,15158.8,2.98487e+07
Fort Lauderdale,FLL,14716.2,2.98635e+07
Asheville,AVL,13373.5,2.98768e+07
Sanford,SFB,14188.1,2.9891e+07
Greensboro,GSO,13591.9,2.99046e+07
Dallas-Fort Worth,DFW,14683.2,2.99193e+07
Sioux Falls,FSD,13044.5,2.99323e+07
Dallas-Fort Worth,DFW,14342,2.99467e+07
Tokyo,NRT,13432.4,2.99601e+07
Cairns,CNS,1582.51,2.99617e+07
Uluru,AYQ,6216.72,2.99679e+07
Cairns,CNS,8425.39,2.99763e+07
Agana,GUM,7665.64,2.9984e+07
Honolulu,HNL,2415.07,2.99864e+07
Salt Lake City,SLC,5654.63,2.99921e+07
Manchester NH,MHT,13254.5,3.00053e+07
Tampa,TPA,15188,3.00205e+07
Miami,MIA,13313.3,3.00338e+07
Redang,APF,13158.2,3.0047e+07
Singapore,SIN,9063.22,3.00561e+07
Tokyo,NRT,9467.15,3.00655e+07
San Diego,SAN,2666.66,3.00682e+07
Louisville,SDF,11719.9,3.00799e+07
Atlanta,ATL,14456,3.00944e+07
Charlottesville VA,CHO,14000.4,3.01084e+07
Atlanta,ATL,14755.8,3.01231e+07
Roanoke VA,ROA,14007.5,3.01371e+07
Sanford,SFB,14461.2,3.01516e+07
Lexington KY,LEX,13693.5,3.01653e+07
Dallas-Fort Worth,DFW,14599.9,3.01799e+07
Evansville,EVV,13184,3.01931e+07
Fairbanks,ORD,14402.2,3.02075e+07
Seattle,SEA,10812.2,3.02183e+07
Bozeman,BZN,11875.8,3.02302e+07
Salt Lake City,SLC,12934.7,3.02431e+07
Butte,BTM,12226.1,3.02553e+07
Salt Lake City,SLC,12815,3.02681e+07
Minneapolis,MSP,12586.7,3.02807e+07
Traverse City,TVC,14752.6,3.02955e+07
Minneapolis,MSP,15330.6,3.03108e+07
Boston,BOS,14839.6,3.03256e+07
Bar Harbor,BHB,15216.2,3.03409e+07
Boston,BOS,15453.7,3.03563e+07
Rockland,RKD,15228.7,3.03715e+07
Boston,BOS,15414.9,3.0387e+07
Salt Lake City,SLC,16483.1,3.04034e+07
Jacksn Hole,JAC,12281.3,3.04157e+07
Salt Lake City,SLC,12741.3,3.04285e+07
Las Vegas,LAS,12329.2,3.04408e+07
Rockford,RFD,11984.8,3.04528e+07
Las Vegas,LAS,14779,3.04676e+07
Victoria,YYJ,11237.7,3.04788e+07
Jinan,CXH,11694,3.04905e+07
Lijiang,LJG,7181.79,3.04977e+07
Shanghai,SHA,7062.86,3.05047e+07
Detroit,DTW,5047.82,3.05098e+07
Greenville,GSP,14996.9,3.05248e+07
Dallas-Fort Worth,DFW,14408.4,3.05392e+07
Bloomington,BMI,13144.5,3.05523e+07
Dallas-Fort Worth,DFW,14577.1,3.05669e+07
Gulfport,GPT,13251.1,3.05802e+07
Atlanta,ATL,13429.4,3.05936e+07
Kalamazoo,AZO,14106.1,3.06077e+07
Atlanta,ATL,14914,3.06226e+07
Chicago,MDW,14121.5,3.06367e+07
Toledo,TOL,14799.4,3.06515e+07
Punta Gorda,PGD,14815.8,3.06663e+07
Fort Wayne,FWA,13496.3,3.06798e+07
Dallas-Fort Worth,DFW,14886.5,3.06947e+07
St. Louis,STL,13147.3,3.07079e+07
Decatur,DEC,14282.4,3.07222e+07
St. Louis,STL,14507.8,3.07367e+07
Las Vegas,LAS,14272.1,3.07509e+07
Cedar Rapids,CID,11916.8,3.07629e+07
Minneapolis,MSP,14514.1,3.07774e+07
La Crosse,LSE,14731.3,3.07921e+07
Minneapolis,MSP,14773.8,3.08069e+07
Wassau,CWA,14734.4,3.08216e+07
Minneapolis,MSP,15006.9,3.08366e+07
Peoria,PIA,14752.4,3.08514e+07
Las Vegas,LAS,14551,3.08659e+07
Appleton,ATW,11941,3.08779e+07
Mesa,AZA,15055.5,3.08929e+07
Champaign,RST,11855.6,3.09048e+07
Dallas-Fort Worth,DFW,14573,3.09193e+07
Manhattan,MHK,13083.4,3.09324e+07
Dallas-Fort Worth,DFW,13857.1,3.09463e+07
Tokyo,NRT,13432.4,3.09597e+07
Adelaide,MEL,481.55,3.09602e+07
Kingscote,KGC,8520.15,3.09687e+07
Adelaide,ADL,8714.98,3.09774e+07
Hong Kong,HKG,12361.2,3.09898e+07
Frankfurt,FRA,9581.04,3.09994e+07
Halifax,YHZ,10553.9,3.10099e+07
Sydney,YQY,15118,3.1025e+07
Hervey Bay,HVB,6978.26,3.1032e+07
Brisbane,BNE,5827.9,3.10378e+07
Klagenfurt,NTL,6050.89,3.10439e+07
Vienna,VIE,4631.23,3.10485e+07
Basel,BSL,5045.83,3.10536e+07
Tel-aviv,TLV,4460.4,3.1058e+07
Tbilisi,TBS,441.439,3.10585e+07
Urumqi,URC,3499.27,3.1062e+07
Chengdu,CTU,5047.65,3.1067e+07
Dali,DLU,7109.03,3.10741e+07
Jinghong,JHG,7420.11,3.10816e+07
